reward,steps,found
169043.0154911082,29,True
189317.34248503254,13,True
166043.01153399353,31,True
188427.15199644575,14,True
192396.6467754377,9,True
180681.19583789387,20,True
189317.34248503254,13,True
190688.5786116698,11,True
192380.9361349062,9,True
178340.01153399353,22,True
170243.01153399353,28,True
174552.20769970084,25,True
189020.23742452607,13,True
184835.01153399353,17,True
189375.29838780462,13,True
177342.0154911082,23,True
188894.0498679606,13,True
150059.20769970084,43,True
189685.33817377288,12,True
177041.01153399353,23,True
189928.49825199164,12,True
169765.15669035568,28,True
182396.10394210316,19,True
184742.20769970084,17,True
189125.956074343,13,True
190956.02706707915,11,True
187330.0154911082,15,True
188427.15199644575,14,True
177342.0154911082,23,True
190948.14590016668,11,True
189929.6184900641,12,True
187040.1415811009,15,True
184835.01153399353,17,True
163243.01153399353,33,True
183635.0154911082,18,True
184442.1415811009,17,True
187534.01153399353,15,True
169986.19583789387,28,True
188238.27808643845,14,True
186925.72497591877,15,True
187534.01153399353,15,True
167653.20769970084,30,True
187330.0154911082,15,True
187040.1415811009,15,True
187534.01153399353,15,True
189682.77767583966,12,True
178398.10394210316,22,True
189012.34644214722,13,True
187040.1415811009,15,True
174625.71891692159,25,True
186041.20769970084,16,True
192380.9361349062,9,True
180228.72497591877,20,True
173427.71891692159,26,True
173632.72497591877,25,True
185626.72497591877,16,True
183314.71891692159,18,True
185741.1415811009,16,True
187340.20769970084,15,True
189682.77767583966,12,True
189677.73528552224,12,True
189012.34644214722,13,True
187056.15669035568,15,True
179639.01153399353,21,True
186925.72497591877,15,True
175742.01153399353,24,True
186925.72497591877,15,True
185858.15669035568,16,True
181844.1415811009,19,True
192380.9361349062,9,True
189788.94422346863,12,True
186013.71891692159,16,True
188334.28642594643,14,True
189788.94422346863,12,True
185626.72497591877,16,True
189934.48707561518,12,True
173965.15669035568,25,True
183443.20769970084,18,True
190948.14590016668,11,True
190948.14590016668,11,True
186235.01153399353,16,True
189685.33817377288,12,True
189791.3541741278,12,True
186192.10394210316,16,True
179596.10394210316,21,True
178828.72497591877,21,True
192396.6467754377,9,True
184835.01153399353,17,True
185741.1415811009,16,True
187534.01153399353,15,True
173202.10394210316,26,True
181039.01153399353,20,True
178340.01153399353,22,True
183260.15669035568,18,True
188336.34420503842,14,True
187330.0154911082,15,True
183443.20769970084,18,True
183314.71891692159,18,True
189020.23742452607,13,True
189024.5240019333,13,True
189128.12079521926,13,True
167602.10394210316,30,True
189012.34644214722,13,True
189317.34248503254,13,True
190948.14590016668,11,True
173043.01153399353,26,True
184226.72497591877,17,True
189926.03961709974,12,True
165549.1415811009,31,True
167643.0154911082,30,True
190948.14590016668,11,True
170243.01153399353,28,True
180681.19583789387,20,True
184458.15669035568,17,True
177745.1415811009,22,True
192396.6467754377,9,True
186041.20769970084,16,True
190553.02876067645,11,True
173965.15669035568,25,True
183435.01153399353,18,True
183314.71891692159,18,True
186925.72497591877,15,True
166427.71891692159,31,True
180835.0154911082,20,True
188732.14803933108,14,True
189685.33817377288,12,True
187534.01153399353,15,True
186041.20769970084,16,True
181039.01153399353,20,True
188894.0498679606,13,True
190948.14590016668,11,True
188894.0498679606,13,True
181844.1415811009,19,True
174643.0154911082,25,True
183143.1415811009,18,True
180716.71891692159,20,True
182826.72497591877,18,True
187413.71891692159,15,True
