,reward,steps,found
0,163165.7401765028,34,True
1,188977.3953882401,15,True
2,191759.04628257005,10,True
3,187515.9022552961,16,True
4,184821.44367808144,18,True
5,166236.93351130813,31,True
6,191055.1175735479,11,True
7,191309.36731096567,11,True
8,190416.52770091948,12,True
9,191403.4307934447,11,True
10,190366.29065321095,12,True
11,186866.45504823356,16,True
12,-205417.7647553508,42,False
13,191544.95514000213,10,True
14,142244.99226426054,48,True
15,190814.87824343008,12,True
16,191519.0357416329,10,True
17,181533.9056429223,20,True
18,187730.0441092859,15,True
19,190499.44845116755,13,True
20,181246.3975196086,20,True
21,187065.3081223267,16,True
22,183628.2376205275,18,True
23,190100.3937284918,13,True
24,168922.61240461495,29,True
25,181668.82293318532,20,True
26,190106.30392688047,12,True
27,-213525.2749864109,60,False
28,191619.825054187,10,True
29,190958.8224680698,12,True
30,-209131.9488040586,45,False
31,177220.66973096458,23,True
32,150563.93523932347,42,True
33,191626.2784194152,10,True
34,191374.12495636076,10,True
35,183784.1297284087,19,True
36,-207347.30820322517,39,False
37,178285.73472929074,22,True
38,191980.7516074633,10,True
39,186880.82264565505,16,True
40,189233.71168246123,14,True
41,190781.5936332524,12,True
42,190712.0741546568,12,True
43,179934.2740859504,21,True
44,190182.9518727412,13,True
45,184895.84704157652,17,True
46,187299.56075046083,15,True
47,-211464.2003153587,60,False
48,190141.02324372207,13,True
49,187214.6966953801,16,True
50,191401.3887823113,10,True
51,170413.82198712922,28,True
52,188150.5915333088,14,True
53,190979.68413385376,12,True
54,187233.38392238683,16,True
55,191937.70981003708,10,True
56,188864.47121988964,14,True
57,-198534.6782046379,12,False
58,187419.72675809247,16,True
59,186064.59685562865,17,True
60,191009.519165784,11,True
61,191753.18265404008,10,True
62,190503.1308947061,12,True
63,190834.0838423168,12,True
64,177117.28630698545,23,True
65,181762.61282525217,19,True
66,187280.46610679507,16,True
67,172467.52012613503,26,True
68,-208605.0698067535,43,False
69,190133.86013563164,13,True
70,191615.12950744925,11,True
71,192035.0,9,True
72,191554.9617508908,10,True
73,174720.89458439837,25,True
74,188449.59738525207,14,True
75,169229.19853697988,29,True
76,190226.7917233913,13,True
77,191235.95539566872,11,True
78,185680.77104517707,17,True
79,189652.47572985195,14,True
80,169601.14923728726,29,True
81,189151.28021587976,15,True
82,-218717.0356969756,71,False
83,188370.77596906203,15,True
84,186560.4369104772,16,True
85,189674.3959221847,14,True
86,177524.0097490541,23,True
87,183277.11565035704,19,True
88,191297.46419033472,11,True
89,-199978.0,6,False
90,183119.17269989796,19,True
91,-203970.3604491594,30,False
92,188723.46964600933,14,True
93,189285.55110185212,14,True
94,187088.8797900402,16,True
95,169418.0191183662,29,True
96,174411.4074774049,25,True
97,188575.4898883236,14,True
98,190999.1833824295,11,True
99,180602.61743312835,21,True
100,191556.79508913157,11,True
101,176656.3069839558,23,True
102,190190.98862611703,13,True
103,190793.4162566019,12,True
104,175841.9955113449,24,True
105,189320.4417818632,14,True
106,177944.53618260237,23,True
107,190709.39438628947,12,True
108,191164.04962868732,11,True
109,190505.39182668872,12,True
110,187310.78390102665,15,True
111,190394.0706894396,12,True
112,188884.37641399243,15,True
113,154924.59720146068,39,True
114,191759.04628257005,10,True
115,191073.7771124156,11,True
116,191755.57508260343,10,True
117,-197856.42015897683,16,False
118,-213947.23551234105,59,False
119,192249.09114256792,9,True
120,190765.341724472,12,True
121,190278.57694608133,13,True
122,190588.57810181665,12,True
123,192249.09114256792,9,True
124,186542.07365162813,16,True
125,190234.72595013375,13,True
126,192236.56520955855,9,True
127,191541.48394003557,10,True
128,190181.6958353223,13,True
129,185775.72327026803,17,True
130,188795.98650498383,15,True
131,191253.3051948372,11,True
132,184886.7324389375,18,True
133,170418.91796886682,28,True
134,187094.9137882229,16,True
135,179817.97542897752,21,True
136,186079.0802700501,17,True
137,185827.19853697988,17,True
138,185297.9338886877,17,True
139,186609.2937014184,16,True
140,182124.52536841677,19,True
141,183096.15078477783,19,True
142,192236.56520955855,9,True
143,191471.5274144436,10,True
144,190897.845540736,11,True
145,191755.57508260343,10,True
146,190678.8615664069,12,True
147,190317.58543934848,13,True
148,186788.42725714765,16,True
149,182036.48972861236,20,True
150,167661.79918304438,30,True
151,192236.56520955855,9,True
152,182262.88476973883,19,True
153,-198724.38567602372,12,True
154,184480.4899189441,18,True
155,185915.96784274612,17,True
156,187998.24037502235,16,True
157,-202195.2898060488,26,False
158,191727.08986743572,10,True
159,153737.93351130813,40,True
160,186779.08696121204,16,True
161,-203274.2913633041,29,False
162,189547.52688805503,14,True
163,185424.74078540076,17,True
164,157925.27953947385,37,True
165,190017.99501871332,13,True
166,191203.8321931454,11,True
167,191584.7448989621,10,True
168,191139.810146874,11,True
169,188461.07782354025,15,True
170,189196.7494342147,14,True
171,181250.8372881529,20,True
172,191756.65385400667,10,True
173,191582.35247039868,10,True
174,-199406.24849014927,10,False
175,191755.57508260343,10,True
176,180248.10827367997,21,True
177,189892.4307196115,13,True
178,191541.48394003557,10,True
179,-223061.96232108065,83,False
180,-201301.44868828045,23,False
181,191969.6662251714,10,True
182,191755.57508260343,10,True
183,191769.05289345872,10,True
