reward,steps,found
160748.68714076284,35,True
172830.29960661894,26,True
182158.73845464605,19,True
170708.4802256145,27,True
153296.13597181873,40,True
180435.7871199437,20,True
180357.60608350544,20,True
166374.97228649032,30,True
190590.55285657482,11,True
187458.14639912132,14,True
186698.8404483597,15,True
162534.48621979018,33,True
191136.42144996737,10,True
190363.13354299567,12,True
191711.00305890795,10,True
159724.47093519924,35,True
-215408.64260858932,63,False
170942.48139139608,27,True
181867.26042645835,19,True
188057.8626857637,14,True
191535.63146242287,10,True
148258.42427986057,43,True
187753.26898664027,14,True
179319.92209348397,21,True
191425.7292838221,10,True
153662.1445600346,40,True
-208685.25814337592,43,False
170837.89848779578,27,True
192930.0,8,True
175075.10972801642,24,True
181567.0660908152,19,True
-208224.79845846715,42,False
170275.07197760127,27,True
180374.2961656001,20,True
187735.35753267567,14,True
188810.24769195355,13,True
151748.60561343408,41,True
179082.7013759446,21,True
187343.99324411142,14,True
188831.94796064502,14,True
191709.85233342918,10,True
167827.40941688087,29,True
162077.32773894435,34,True
185408.66019295686,16,True
163010.75613195618,33,True
118173.28948535107,66,True
189362.25249478564,13,True
191267.5982107348,10,True
168554.05482688214,29,True
190915.7741524556,11,True
179663.31048839327,21,True
185084.6283446691,17,True
156377.77102930687,38,True
191726.975933155,10,True
190405.83252109203,11,True
190210.58311323557,12,True
187345.97027240807,15,True
179830.76501124774,20,True
139411.86320486563,50,True
174756.7755684623,24,True
191098.82357275274,10,True
163452.25830819272,32,True
192199.09262577025,9,True
191825.28343348953,10,True
185930.80513984105,16,True
160700.15623595106,34,True
175274.47925783088,24,True
168477.68817810452,28,True
177395.66177063974,22,True
192094.82357275274,9,True
176088.67622518833,23,True
164607.96545246895,32,True
185496.65347399085,16,True
137813.13225863958,51,True
161003.66395729824,35,True
173682.32466455922,25,True
189746.23811409922,13,True
183674.02230281747,17,True
181747.65203653328,19,True
180573.84506175076,20,True
188321.95661890513,14,True
150907.49010171893,42,True
186800.54348462462,15,True
188151.79042361188,14,True
190957.7248483182,11,True
180055.67821991054,20,True
167197.07016730716,30,True
153002.8526997417,40,True
187748.95643897532,14,True
-99997,1,False
176276.21196831076,23,True
176759.3531718595,22,True
189759.62936778646,12,True
159029.67910983882,36,True
190706.4210371966,11,True
190611.0931080816,11,True
181987.91846289366,19,True
190959.08332378042,11,True
-122337.23857223609,89,False
176421.3428090499,23,True
187801.63640322976,14,True
190540.82494330825,11,True
178659.28296451343,21,True
191934.0,9,True
173973.91318838892,25,True
187250.21725975693,14,True
141429.1894565866,48,True
120480.2186760382,64,True
-212324.30114886566,57,False
189991.1527984991,12,True
176523.16700021827,22,True
182959.122132541,18,True
187738.12212417545,14,True
156665.41415413082,38,True
189536.600691218,13,True
172142.9633967992,26,True
186705.15643232944,15,True
191660.21243976266,10,True
166249.0709092015,30,True
190972.91897323352,11,True
186893.19942903577,15,True
160395.91846289366,35,True
190963.61620229043,11,True
190612.57651449332,11,True
176313.87349943406,23,True
184044.58040681473,17,True
190676.60795569155,11,True
155406.74014558725,39,True
181008.2852831038,20,True
188188.08856030228,14,True
-198636.31002740088,13,False
184969.99282333223,16,True
167564.186114016,30,True
177989.84521845687,22,True
176388.89012789307,23,True
161179.21048175218,34,True
-199018.8858106399,12,False
187855.5193223636,14,True
182952.63202969136,18,True
177055.53077400647,22,True
190277.57112439437,11,True
186901.82400387528,15,True
-116914.1972196415,67,False
183936.71386157227,17,True
179371.19853277734,21,True
178315.93801106664,22,True
153734.6740713685,39,True
187108.92580184827,15,True
186633.76550633967,15,True
173619.73563118145,25,True
184350.70457002873,17,True
137470.23584961408,52,True
168460.16023317285,29,True
188851.35205025508,13,True
191496.11981399238,10,True
-205675.98654495,37,True
169167.78328278093,28,True
181615.97206485822,19,True
173718.7302784939,25,True
181755.25889998086,19,True
155794.01835451805,38,True
-205540.10305895077,32,False
179775.7615838194,21,True
184774.62550442643,17,True
-200067,9,False
152894.06302540845,40,True
177506.14461901973,22,True
191133.7524231059,11,True
169390.28718375615,28,True
139931.6298242042,49,True
187284.85674196255,14,True
191589.0864652879,10,True
-206849.40328202656,39,True
141817.2106915714,48,True
166448.68021116912,30,True
-198756.52578735555,12,False
149944.62402665382,42,True
189940.1648015019,12,True
189534.49100078127,13,True
-217288.10530936366,69,False
159721.12395585672,35,True
-212719.07988241504,54,False
175178.82973986873,24,True
158889.88758438244,36,True
170106.1813991952,28,True
168111.8465135782,29,True
158990.8092638509,36,True
163797.77501634086,32,True
-211693.90142284328,50,False
175848.97458337055,23,True
190875.10559094118,11,True
-122149.07677371657,81,False
189913.4056795687,12,True
186899.13991611145,15,True
185501.75492113375,16,True
161168.1707016259,35,True
186190.47877510122,15,True
-119176.83676870374,84,False
191262.91619852302,10,True
187771.8209779859,14,True
187039.65925673445,15,True
191575.25457579663,10,True
189800.52211551933,13,True
171550.8562111664,26,True
189173.42056362497,13,True
-116830.04107949998,67,False
191736.0781485494,10,True
155574.01592149827,39,True
142634.01284281365,47,True
189377.17267353565,13,True
190663.43704110038,11,True
189168.3289117459,13,True
-117818.3913982339,78,False
147723.2626546114,44,True
187839.90869053567,14,True
191502.28140346898,10,True
188953.73533573997,14,True
191550.17948615522,10,True
143859.5974726004,47,True
180492.7953465172,20,True
181563.77102930687,19,True
190263.3007701678,11,True
193031.0,8,True
-216250.99266439062,63,False
173630.53470222827,25,True
173008.5098248107,25,True
191367.2237613267,10,True
188126.09651441016,14,True
191435.78278414422,10,True
189685.38508034288,12,True
181083.4726762186,20,True
171690.8450333201,26,True
164253.05482688214,32,True
188153.15857595642,14,True
184062.48840105647,17,True
190778.03675411578,11,True
187901.59827765863,14,True
168400.65009443142,29,True
190570.6850551988,11,True
185256.20702890915,16,True
191554.75764109078,10,True
188493.20694923302,14,True
175562.1447390471,24,True
190524.81836515796,11,True
130072.8029012919,57,True
169860.16023317285,28,True
