episode,actions,rewards
0,10,-100193.0
1,4,-100098.0
2,20,-100688.0
3,1,-100000.0
4,3,-99998.0
5,1,-100000.0
6,2,-100100.0
7,13,-100190.0
8,4,-100199.0
9,4,-100199.0
10,3,-99998.0
11,53,-100655.0
12,4,-100098.0
13,6,-100096.0
14,1,-100000.0
15,1,-100000.0
16,90,-101011.41935649209
17,1,-100000.0
18,2,-100100.0
19,22,-100484.0
20,1,-100000.0
21,24,-100280.0
22,2,-99999.0
23,1,-100000.0
24,85,-100623.0
25,1,-100000.0
26,1,-100000.0
27,4,-99997.0
28,4,-100098.0
29,1,-100000.0
30,1,-100000.0
31,1,-100000.0
32,4,-99997.0
33,73,-99924.87792422203
34,13,-100089.0
35,1,-100000.0
36,3,-100200.0
37,2,-100100.0
38,59,-99999.01641624558
39,3,-100099.0
40,2,-100100.0
41,177,-102867.984422203
42,1,-100000.0
43,10,-100294.0
44,3,-100200.0
45,37,-100671.0
46,20,-100385.0
47,1,-100000.0
48,1,-100000.0
49,6,-100197.0
50,3,-100099.0
51,4,-100098.0
52,19,-100184.0
53,3,-100099.0
54,2,-99999.0
55,4,-100098.0
56,25,-100279.0
57,2,-100100.0
58,1,-100000.0
59,1,-100000.0
60,1,-100000.0
61,1,-100000.0
62,3,-100099.0
63,5,-99996.0
64,1,-100000.0
65,4,-100098.0
66,2,-100100.0
67,6,-100096.0
68,3,-100099.0
69,5,-100299.0
70,6,-100096.0
71,2,-100100.0
72,3,-100099.0
73,58,-100716.74155315419
74,1,-100000.0
75,3,-100200.0
76,5,-100198.0
77,3,-99998.0
78,17,-100085.0
79,1,-100000.0
80,2,-100100.0
81,4,-100098.0
82,3,-100099.0
83,4,-100098.0
84,7,-100196.0
85,3,-100099.0
86,1,-100000.0
87,1,-100000.0
88,3,-99998.0
89,4,-99997.0
90,1,-100000.0
91,3,-100099.0
92,4,-99997.0
93,66,-99923.3281381447
94,2,-100100.0
95,3,-99998.0
96,1,-100000.0
97,2,-99999.0
98,2,-100100.0
99,1,-100000.0
100,2,-99999.0
101,13,-99988.0
102,1,-100000.0
103,4,-100098.0
104,2,-99999.0
105,1,-100000.0
106,2,-100100.0
107,109,-102215.0
108,3,-99998.0
109,1,-100000.0
110,1,-100000.0
111,4,-99997.0
112,3,-99998.0
113,1,-100000.0
114,7,-100095.0
115,1,-100000.0
116,8,-100094.0
117,5,-100198.0
118,3,-100099.0
119,2,-99999.0
120,26,-100379.0
121,7,-100196.0
122,1,-100000.0
123,106,-100426.9576226862
124,83,-101635.0
125,2,-100100.0
126,69,-100271.59031087802
127,4,-100098.0
128,1,-100000.0
129,3,-100099.0
130,16,-100288.0
131,1,-100000.0
132,2,-99999.0
133,65,-100638.53236046867
134,11,-99990.0
135,16,-100490.0
136,4,-100098.0
137,3,-100200.0
138,5,-99996.0
139,1,-100000.0
140,88,155829.818912497
141,2,-99999.0
142,1,-100000.0
143,2,-100100.0
144,3,-99998.0
145,1,-100000.0
146,75,-100829.53733907432
147,1,-100000.0
148,1,-100000.0
149,3,-99998.0
150,91,-101728.0
151,5,-100097.0
152,9,-100194.0
153,7,-99994.0
154,6,-100096.0
155,1,-100000.0
156,3,-100200.0
157,1,-100000.0
158,11,-100192.0
159,4,-100098.0
160,1,-100000.0
161,11,-100192.0
162,2,-100100.0
163,3,-99998.0
164,1,-100000.0
165,1,-100000.0
166,1,-100000.0
167,5,-100097.0
168,1,-100000.0
169,1,-100000.0
170,130,-101427.31539265135
171,32,-100474.0
172,1,-100000.0
173,2,-100100.0
174,1,-100000.0
175,3,-100099.0
176,2,-100100.0
177,3,-99998.0
178,1,-100000.0
179,188,-104906.293129061
180,5,-100198.0
181,134,-103200.0
182,3,-99998.0
183,25,-100481.0
184,3,-100200.0
185,3,-99998.0
186,3,-100099.0
187,46,-101066.0
188,7,-100196.0
189,7,-100095.0
190,5,-99996.0
191,1,-100000.0
192,115,-102007.0
193,1,-100000.0
194,4,-100098.0
195,13,-100190.0
196,3,-100200.0
197,2,-100100.0
198,1,-100000.0
199,7,-100095.0
200,1,-100000.0
201,2,-100100.0
202,2,-100100.0
203,3,-100200.0
204,7,-100196.0
205,13,-100291.0
206,3,-100099.0
207,54,-100149.0
208,6,-100096.0
209,99,-101714.25838200691
210,4,-100098.0
211,42,-100969.0
212,1,-100000.0
213,6,-100298.0
214,1,-100000.0
215,22,-100686.0
216,2,-100100.0
217,3,-100200.0
218,68,-101347.0
219,15,-100390.0
220,72,-100867.88936740419
221,129,-102296.0
222,5,-100198.0
223,49,-100255.0
224,1,-100000.0
225,8,-100195.0
226,3,-100099.0
227,18,-100387.0
228,9,-100093.0
229,4,-99997.0
230,188,-102506.7228589937
231,1,-100000.0
232,4,-100199.0
233,1,-100000.0
234,87,-100924.0
235,5,-100299.0
236,1,-100000.0
237,83,-101635.0
238,2,-99999.0
239,4,-100098.0
240,1,-100000.0
241,3,-100200.0
242,7,-100196.0
243,3,-99998.0
244,7,-100297.0
245,9,-100093.0
246,1,-100000.0
247,6,-100197.0
248,1,-100000.0
249,7,-100095.0
250,3,-99998.0
251,1,-100000.0
252,14,-100290.0
253,4,-99997.0
254,11,-100192.0
255,1,-100000.0
256,1,-100000.0
257,50,-100557.0
258,72,-101444.0
259,2,-99999.0
260,2,-99999.0
261,7,-100297.0
262,4,-100098.0
263,1,-100000.0
264,94,-99457.228151981
265,20,-100385.0
266,1,-100000.0
267,1,-100000.0
268,17,-100287.0
269,2,-100100.0
270,7,-100095.0
271,2,-100100.0
272,1,-100000.0
273,1,-100000.0
274,175,-103020.4205681716
275,1,-100000.0
276,21,-100687.0
277,15,-100289.0
278,1,-100000.0
279,7,-100196.0
280,12,-100494.0
281,2,-99999.0
282,56,-100854.0
283,3,-99998.0
284,12,-100090.0
285,3,-99998.0
286,4,-99997.0
287,2,-100100.0
288,4,-100098.0
289,6,-99995.0
290,3,-100200.0
291,1,-100000.0
292,2,-100100.0
293,1,-100000.0
294,1,-100000.0
295,2,-99999.0
296,3,-100099.0
297,15,-100390.0
298,28,-100478.0
299,7,-100297.0
300,3,-100099.0
301,1,-100000.0
302,3,-100099.0
303,9,-100093.0
304,1,-100000.0
305,6,-100096.0
306,1,-100000.0
307,5,-99996.0
308,1,-100000.0
309,1,-100000.0
310,4,-99997.0
311,95,-100815.0
312,1,-100000.0
313,2,-100100.0
314,1,-100000.0
315,4,-100098.0
316,1,-100000.0
317,1,-100000.0
318,10,-100193.0
319,78,-101438.0
320,47,-100661.0
321,1,-100000.0
322,2,-100100.0
323,3,-100099.0
324,17,-100590.0
325,4,-99997.0
326,1,-100000.0
327,2,-100100.0
328,3,-100099.0
329,3,-100099.0
330,11,-100394.0
331,53,-100251.0
332,3,-100099.0
333,1,-100000.0
334,3,-99998.0
335,5,-100198.0
336,4,-100300.0
337,2,-99999.0
338,4,-100098.0
339,1,-100000.0
340,71,-100637.0
341,3,-100099.0
342,2,-99999.0
343,1,-100000.0
344,17,-100590.0
345,3,-100200.0
346,4,-100098.0
347,2,-99999.0
348,1,-100000.0
349,62,-99949.75775298495
350,60,-101153.0
351,2,-99999.0
352,1,-100000.0
353,4,-100199.0
354,1,-100000.0
355,1,-100000.0
356,20,-100385.0
357,3,-100200.0
358,2,-100100.0
359,29,-100275.0
360,1,-100000.0
361,6,-99995.0
362,6,-99995.0
363,4,-99997.0
364,6,-100197.0
365,3,-99998.0
366,21,190020.0
367,3,-100200.0
368,2,-100100.0
369,1,-100000.0
370,2,-100100.0
371,40,-101072.0
372,6,-100096.0
373,55,-100451.0
374,1,-100000.0
375,1,-100000.0
376,7,-99994.0
377,3,-99998.0
378,1,-100000.0
379,11,-100091.0
380,5,-99996.0
381,1,-100000.0
382,1,-100000.0
383,34,-100169.0
384,30,-100678.0
385,1,-100000.0
386,1,-100000.0
387,9,-100093.0
388,15,-100087.0
389,6,-100096.0
390,3,-100200.0
391,2,-99999.0
392,72,-100434.0
393,1,-100000.0
394,5,-99996.0
395,1,-100000.0
396,1,-100000.0
397,1,-100000.0
398,3,-99998.0
399,3,-99998.0
400,3,-99998.0
401,75,-100532.0
402,1,-100000.0
403,3,-99998.0
404,4,-100098.0
405,4,-99997.0
406,82,-100594.1400557865
407,1,-100000.0
408,4,-100098.0
409,56,-100450.0
410,8,-100296.0
411,88,-100620.0
412,2,-100100.0
413,14,-100189.0
414,3,-100099.0
415,2,-100100.0
416,1,-100000.0
417,1,-100000.0
418,12,-100191.0
419,1,-100000.0
420,16,-100187.0
421,12,-99989.0
422,9,-99992.0
423,66,-100238.0
424,5,-100097.0
425,4,-100098.0
426,3,-100099.0
427,1,-100000.0
428,2,-100100.0
429,44,-100253.84335722047
430,1,-100000.0
431,54,-100452.0
432,8,-99993.0
433,1,-100000.0
434,1,-100000.0
435,91,-101425.0
