episode,actions,rewards
0,4,-199998.0
1,4,-199998.0
2,4,-199998.0
3,4,-100098.0
4,4,-199998.0
5,4,-200099.0
6,4,-199998.0
7,4,-199998.0
8,4,-99997.0
9,8,-199994.0
10,4,-299999.0
11,4,-200099.0
12,4,-199998.0
13,4,-99997.0
14,4,-199998.0
15,4,-100098.0
16,4,-99997.0
17,4,-400000.0
18,4,-99997.0
19,4,-199998.0
20,4,-199998.0
21,8,-199994.0
22,4,-400000.0
23,4,-199998.0
24,4,-99997.0
25,4,-199998.0
26,4,-99997.0
27,4,-299999.0
28,4,-199998.0
29,4,-199998.0
30,4,-99997.0
31,8,-99993.0
32,16,-99985.0
33,4,-99997.0
34,4,-99997.0
35,4,-199998.0
36,4,-99997.0
37,4,-199998.0
38,4,-99997.0
39,4,-99997.0
40,4,-199998.0
41,4,-199998.0
42,4,-299999.0
43,4,-99997.0
44,4,-299999.0
45,4,-99997.0
46,12,-99989.0
47,4,-199998.0
48,4,-99997.0
49,4,-199998.0
50,4,-400000.0
51,4,-200099.0
52,4,-299999.0
53,4,-199998.0
54,4,-100098.0
55,4,-199998.0
56,4,-99997.0
57,4,-199998.0
58,4,-299999.0
59,4,-199998.0
60,4,-199998.0
61,4,-199998.0
62,4,-299999.0
63,4,-299999.0
64,4,-99997.0
65,4,-199998.0
66,4,-299999.0
67,4,-99997.0
68,8,-99993.0
69,4,-299999.0
70,4,-99997.0
71,4,-99997.0
72,12,-99989.0
73,4,-199998.0
74,8,-400097.0
75,4,-100098.0
76,4,-199998.0
77,8,-99993.0
78,4,-299999.0
79,4,-199998.0
80,4,-299999.0
81,4,-199998.0
82,4,-99997.0
83,4,-99997.0
84,4,-99997.0
85,4,-299999.0
86,8,-199994.0
87,4,-400000.0
88,4,-99997.0
89,4,-299999.0
90,12,-299991.0
91,4,-199998.0
92,4,-199998.0
93,8,-99993.0
94,8,-299995.0
95,4,-300100.0
96,4,-99997.0
97,4,-99997.0
98,4,-99997.0
99,4,-99997.0
100,4,-99997.0
101,4,-99997.0
102,4,-99997.0
103,4,-99997.0
104,4,-99997.0
105,16,-200188.0
106,8,-99993.0
107,4,-400000.0
108,4,-400000.0
109,4,-299999.0
110,4,-99997.0
111,16,-199986.0
112,4,-99997.0
113,4,-99997.0
114,4,-99997.0
115,8,-99993.0
116,8,-199994.0
117,4,-99997.0
118,4,-99997.0
119,4,-99997.0
120,4,-99997.0
121,4,-199998.0
122,4,-99997.0
123,4,-99997.0
124,4,-299999.0
125,4,-299999.0
126,4,-99997.0
127,4,-99997.0
128,8,-199994.0
129,4,-300100.0
130,8,-199994.0
131,4,-199998.0
132,4,-199998.0
133,4,-99997.0
134,4,-99997.0
135,4,-99997.0
136,4,-199998.0
137,4,-299999.0
138,8,-99993.0
139,4,-299999.0
140,4,-99997.0
141,4,-199998.0
142,4,-199998.0
143,4,-199998.0
144,4,-199998.0
145,4,-99997.0
146,4,-200099.0
147,4,-99997.0
148,4,-99997.0
149,4,-199998.0
150,4,-199998.0
151,4,-99997.0
152,4,-400000.0
153,4,-199998.0
154,8,-199994.0
155,4,-99997.0
156,4,-299999.0
157,4,-99997.0
158,4,-99997.0
159,4,-99997.0
160,4,-199998.0
161,8,-199994.0
162,4,-299999.0
163,4,-99997.0
164,4,-199998.0
165,4,-199998.0
166,4,-199998.0
167,8,-299995.0
168,4,-299999.0
169,4,-199998.0
170,4,-100098.0
171,8,-199994.0
172,4,-99997.0
173,8,-199994.0
174,4,-99997.0
175,4,-99997.0
176,4,-400000.0
177,4,-99997.0
178,4,-299999.0
179,4,-299999.0
180,4,-99997.0
181,4,-299999.0
182,4,-99997.0
183,8,-99993.0
184,4,-200200.0
185,4,-99997.0
186,4,-99997.0
187,4,-400000.0
188,4,-100098.0
189,4,-99997.0
190,4,-100098.0
191,4,-299999.0
192,4,-99997.0
193,12,-199990.0
194,4,-99997.0
195,8,-199994.0
196,4,-199998.0
197,4,-99997.0
198,4,-299999.0
199,4,-199998.0
200,4,-300100.0
201,4,-99997.0
202,4,-99997.0
203,4,-99997.0
204,4,-299999.0
205,4,-99997.0
206,4,-99997.0
207,4,-99997.0
208,8,-300197.0
209,4,-299999.0
210,4,-200099.0
211,8,-200095.0
212,4,-99997.0
213,4,-199998.0
214,4,-199998.0
215,4,-99997.0
216,4,-299999.0
217,4,-200099.0
218,4,-199998.0
219,8,-200095.0
220,4,-199998.0
221,4,-100098.0
222,4,-199998.0
223,4,-199998.0
224,4,-300100.0
225,4,-99997.0
226,4,-99997.0
227,4,-199998.0
228,4,-99997.0
229,4,-199998.0
230,4,-299999.0
231,4,-299999.0
232,8,-99993.0
233,4,-199998.0
234,4,-199998.0
235,4,-99997.0
236,4,-299999.0
237,4,-199998.0
238,4,-99997.0
239,4,-199998.0
240,4,-99997.0
241,4,-300100.0
242,4,-100098.0
243,4,-400000.0
244,4,-99997.0
245,4,-299999.0
246,4,-99997.0
247,12,-99989.0
248,4,-400000.0
249,4,-299999.0
250,4,-199998.0
251,4,-199998.0
252,4,-199998.0
253,4,-99997.0
254,4,-400000.0
255,12,-199990.0
256,12,-99989.0
257,4,-99997.0
258,4,-99997.0
259,4,-99997.0
260,4,-99997.0
261,4,-199998.0
262,4,-99997.0
263,4,-99997.0
264,4,-299999.0
265,4,-100098.0
266,8,-100094.0
267,4,-299999.0
268,4,-199998.0
269,4,-99997.0
270,4,-100098.0
271,4,-199998.0
272,4,-199998.0
273,4,-99997.0
274,4,-299999.0
275,4,-200099.0
276,4,-199998.0
277,4,-99997.0
278,4,-299999.0
279,4,-299999.0
280,4,-99997.0
281,4,-199998.0
282,4,-100098.0
283,4,-200200.0
284,4,-199998.0
285,4,-299999.0
286,8,-100094.0
287,4,-199998.0
288,4,-299999.0
289,4,-299999.0
290,4,-299999.0
291,8,-99993.0
292,4,-99997.0
293,4,-199998.0
294,8,-199994.0
295,4,-99997.0
296,4,-99997.0
297,8,-299995.0
298,20,-199982.0
299,4,-299999.0
300,4,-99997.0
301,4,-99997.0
302,4,-99997.0
303,4,-299999.0
304,4,-299999.0
305,8,-199994.0
306,4,-99997.0
307,4,-99997.0
308,4,-199998.0
309,4,-99997.0
310,8,-99993.0
311,4,-199998.0
312,4,-299999.0
313,4,-200099.0
314,4,-199998.0
315,4,-199998.0
316,4,-99997.0
317,32,-99969.0
318,4,-99997.0
319,4,-199998.0
320,4,-199998.0
321,8,-99993.0
322,4,-100098.0
323,4,-99997.0
324,8,-99993.0
325,4,-99997.0
326,4,-99997.0
327,8,-99993.0
328,4,-100098.0
329,8,-199994.0
330,4,-99997.0
331,4,-99997.0
332,16,-200087.0
333,4,-200099.0
334,4,-99997.0
335,4,-99997.0
336,8,-199994.0
337,4,-100098.0
338,8,-99993.0
339,12,-200293.0
340,4,-299999.0
341,4,-99997.0
342,4,-299999.0
343,4,-199998.0
344,8,-199994.0
345,4,-199998.0
346,4,-99997.0
347,12,-100090.0
348,4,-100098.0
349,4,-199998.0
350,4,-99997.0
351,4,-299999.0
352,4,-199998.0
353,4,-400000.0
354,8,-199994.0
355,4,-99997.0
356,4,-99997.0
357,8,-199994.0
358,8,-200095.0
359,4,-99997.0
360,4,-99997.0
361,4,-100098.0
362,4,-99997.0
363,4,-199998.0
364,4,-299999.0
365,4,-99997.0
366,4,-99997.0
367,4,-99997.0
368,20,-200083.0
369,4,-200099.0
370,12,-99989.0
371,4,-199998.0
372,28,-100074.0
373,4,-199998.0
374,4,-100098.0
375,4,-99997.0
376,12,-199990.0
377,4,-99997.0
378,4,-199998.0
379,8,-100094.0
380,4,-99997.0
381,4,-99997.0
382,4,-199998.0
383,4,-99997.0
384,4,-99997.0
385,16,-99985.0
386,16,-99985.0
387,4,-199998.0
388,4,-99997.0
389,4,-299999.0
390,4,-200099.0
391,12,-99989.0
392,4,-299999.0
393,4,-299999.0
394,16,-99985.0
395,4,-100098.0
396,12,-99989.0
397,4,-99997.0
398,24,-299979.0
399,4,-99997.0
400,4,-99997.0
401,4,-200099.0
402,12,-99989.0
403,20,-100082.0
404,12,-199990.0
405,4,-199998.0
406,8,-99993.0
407,4,-200099.0
408,4,-299999.0
409,4,-99997.0
410,8,-199994.0
411,8,-99993.0
412,24,-99977.0
413,20,-99981.0
414,4,-199998.0
415,4,-199998.0
416,4,-199998.0
417,4,-99997.0
418,4,-199998.0
419,4,-199998.0
420,4,-199998.0
421,4,-199998.0
422,4,-99997.0
423,4,-299999.0
424,4,-199998.0
425,4,-99997.0
426,4,-99997.0
427,4,-100098.0
428,4,-400000.0
429,4,-99997.0
430,4,-199998.0
431,16,-199986.0
432,4,-199998.0
433,4,-99997.0
434,4,-199998.0
435,4,-199998.0
436,4,-99997.0
437,4,-99997.0
438,4,-199998.0
439,4,-199998.0
440,4,-199998.0
441,4,-99997.0
442,4,-199998.0
443,4,-99997.0
444,4,-99997.0
445,4,-99997.0
446,4,-99997.0
447,4,-99997.0
448,4,-99997.0
449,4,-99997.0
450,4,-99997.0
451,4,-99997.0
452,4,-99997.0
453,4,-99997.0
454,4,-99997.0
455,20,-100082.0
456,4,-199998.0
457,4,-99997.0
458,16,-99985.0
459,4,-199998.0
460,4,-99997.0
461,4,-299999.0
462,4,-99997.0
463,4,-299999.0
464,4,-99997.0
465,4,-99997.0
466,8,-99993.0
467,4,-199998.0
468,12,-99989.0
469,4,-199998.0
470,4,-99997.0
471,4,-299999.0
472,8,-400097.0
473,4,-99997.0
474,4,-99997.0
475,4,-199998.0
476,4,-199998.0
477,12,-199990.0
478,20,-199982.0
479,8,-99993.0
480,4,-99997.0
481,4,-99997.0
482,8,-99993.0
483,8,-99993.0
484,4,-99997.0
485,8,-199994.0
486,4,-299999.0
487,4,-199998.0
488,4,-199998.0
489,4,-99997.0
490,8,-99993.0
491,4,-99997.0
492,36,-100066.0
493,4,-199998.0
494,20,-99981.0
495,48,-100155.0
496,24,-100078.0
497,16,-99985.0
498,4,-99997.0
499,4,-299999.0
500,4,-199998.0
501,4,-299999.0
502,4,-199998.0
503,40,-200063.0
504,4,-400000.0
505,4,-299999.0
506,4,-199998.0
507,4,-199998.0
508,8,-99993.0
509,12,-99989.0
510,8,-99993.0
511,12,-199990.0
512,4,-99997.0
513,4,-199998.0
514,4,-299999.0
515,8,-100094.0
516,12,-199990.0
