episode,actions,rewards
0,4,-299999.0
1,4,-299999.0
2,4,-299999.0
3,4,-199998.0
4,4,-199998.0
5,4,-200099.0
6,4,-299999.0
7,4,-99997.0
8,4,-200099.0
9,4,-199998.0
10,4,-200200.0
11,4,-99997.0
12,4,-100199.0
13,4,-200099.0
14,8,-200196.0
15,4,-299999.0
16,4,-99997.0
17,4,-99997.0
18,4,-200099.0
19,4,-299999.0
20,4,-199998.0
21,4,-400000.0
22,4,-200099.0
23,4,-199998.0
24,4,-199998.0
25,4,-99997.0
26,4,-400000.0
27,4,-400000.0
28,4,-300100.0
29,4,-400000.0
30,4,-199998.0
31,4,-199998.0
32,4,-299999.0
33,4,-400000.0
34,4,-199998.0
35,4,-400000.0
36,4,-200099.0
37,4,-199998.0
38,4,-300100.0
39,4,-99997.0
40,4,-199998.0
41,4,-199998.0
42,4,-99997.0
43,4,-400000.0
44,4,-300100.0
45,4,-200099.0
46,4,-200099.0
47,4,-200099.0
48,4,-299999.0
49,4,-299999.0
50,4,-299999.0
51,4,-100098.0
52,4,-200099.0
53,4,-199998.0
54,8,-100195.0
55,4,-299999.0
56,4,-299999.0
57,4,-299999.0
58,4,-99997.0
59,4,-299999.0
60,4,-200099.0
61,4,-200099.0
62,4,-200200.0
63,8,-100094.0
64,4,-100098.0
65,4,-299999.0
66,4,-200099.0
67,4,-200099.0
68,4,-299999.0
69,4,-99997.0
70,4,-100098.0
71,4,-299999.0
72,4,-199998.0
73,4,-299999.0
74,4,-100098.0
75,4,-199998.0
76,4,-100098.0
77,4,-200099.0
78,4,-199998.0
79,4,-299999.0
80,4,-199998.0
81,4,-200099.0
82,4,-100098.0
83,4,-200099.0
84,4,-200200.0
85,4,-199998.0
86,4,-199998.0
87,4,-100199.0
88,4,-299999.0
89,4,-100199.0
90,16,-300290.0
91,4,-299999.0
92,4,-200099.0
93,4,-299999.0
94,4,-199998.0
95,4,-99997.0
96,4,-199998.0
97,4,-199998.0
98,4,-200099.0
99,4,-400000.0
100,4,-200099.0
101,4,-100199.0
102,4,-199998.0
103,4,-200200.0
104,4,-199998.0
105,4,-99997.0
106,4,-200099.0
107,4,-199998.0
108,4,-299999.0
109,4,-199998.0
110,4,-299999.0
111,4,-100098.0
112,4,-199998.0
113,4,-200099.0
114,4,-100300.0
115,4,-200099.0
116,4,-199998.0
117,4,-299999.0
118,4,-99997.0
119,4,-99997.0
120,4,-199998.0
121,4,-299999.0
122,4,-200099.0
123,4,-199998.0
124,4,-200099.0
125,4,-299999.0
126,4,-299999.0
127,4,-300100.0
128,4,-299999.0
129,4,-100098.0
130,4,-299999.0
131,4,-200099.0
132,4,-99997.0
133,4,-400000.0
134,4,-199998.0
135,4,-199998.0
136,4,-200099.0
137,8,-100296.0
138,4,-300100.0
139,4,-400000.0
140,4,-199998.0
141,4,-100098.0
142,4,-99997.0
143,4,-199998.0
144,4,-199998.0
145,4,-400000.0
146,4,-200200.0
147,4,-200099.0
148,4,-300100.0
149,4,-199998.0
150,4,-300100.0
151,4,-200099.0
152,4,-100098.0
153,4,-400000.0
154,4,-199998.0
155,4,-99997.0
156,4,-200200.0
157,4,-100098.0
158,4,-200099.0
159,4,-99997.0
160,4,-100098.0
161,4,-299999.0
162,4,-199998.0
163,4,-199998.0
164,4,-100199.0
165,4,-100199.0
166,8,-100094.0
167,4,-100199.0
168,4,-400000.0
169,4,-99997.0
170,4,-199998.0
171,4,-299999.0
172,4,-200099.0
173,4,-200200.0
174,4,-200099.0
175,4,-199998.0
176,8,-100195.0
177,4,-299999.0
178,4,-200099.0
179,4,-199998.0
180,4,-100098.0
181,4,-200099.0
182,4,-99997.0
183,4,-200200.0
184,4,-99997.0
185,4,-199998.0
186,4,-300100.0
187,12,-100090.0
188,4,-299999.0
189,4,-200099.0
190,4,-200099.0
191,4,-200099.0
192,4,-99997.0
193,4,-199998.0
194,4,-199998.0
195,4,-300100.0
196,4,-100300.0
197,4,-400000.0
198,4,-200099.0
199,8,-299995.0
200,4,-100098.0
201,4,-100098.0
202,4,-200099.0
203,4,-100098.0
204,4,-199998.0
205,4,-100098.0
206,4,-200200.0
207,4,-199998.0
208,4,-400000.0
209,4,-300100.0
210,4,-99997.0
211,4,-100098.0
212,4,-100098.0
213,4,-100199.0
214,4,-300100.0
215,4,-299999.0
