episode,actions,rewards
0,4,-199998.0
1,4,-299999.0
2,4,-199998.0
3,4,-299999.0
4,4,-199998.0
5,4,-299999.0
6,4,-299999.0
7,4,-100098.0
8,4,-199998.0
9,4,-199998.0
10,4,-299999.0
11,4,-199998.0
12,4,-100098.0
13,4,-100098.0
14,4,-300100.0
15,4,-400000.0
16,4,-99997.0
17,4,-299999.0
18,4,-100098.0
19,4,-199998.0
20,4,-99997.0
21,12,-100292.0
22,4,-199998.0
23,4,-199998.0
24,4,-299999.0
25,8,-199994.0
26,4,-299999.0
27,8,-200095.0
28,4,-199998.0
29,4,-299999.0
30,4,-100098.0
31,4,-99997.0
32,8,-300197.0
33,4,-199998.0
34,4,-199998.0
35,8,-100195.0
36,4,-200099.0
37,4,-199998.0
38,4,-99997.0
39,4,-299999.0
40,4,-199998.0
41,4,-400000.0
42,4,-199998.0
43,4,-299999.0
44,4,-199998.0
45,4,-299999.0
46,4,-200099.0
47,4,-299999.0
48,4,-200099.0
49,8,-99993.0
50,4,-199998.0
51,4,-199998.0
52,4,-200099.0
53,4,-400000.0
54,4,-99997.0
55,4,-299999.0
56,4,-99997.0
57,4,-199998.0
58,4,-199998.0
59,4,-99997.0
60,4,-299999.0
61,4,-100098.0
62,4,-199998.0
63,4,-200099.0
64,4,-299999.0
65,4,-99997.0
66,4,-400000.0
67,8,-99993.0
68,4,-200200.0
69,4,-199998.0
70,4,-400000.0
71,4,-200099.0
72,4,-199998.0
73,4,-200099.0
74,12,-100191.0
75,4,-299999.0
76,4,-299999.0
77,4,-199998.0
78,4,-99997.0
79,4,-299999.0
80,4,-199998.0
81,4,-199998.0
82,4,-199998.0
83,4,-199998.0
84,4,-199998.0
85,4,-99997.0
86,4,-299999.0
87,4,-100098.0
88,4,-400000.0
89,4,-199998.0
90,4,-199998.0
91,4,-400000.0
92,4,-199998.0
93,4,-199998.0
94,4,-100098.0
95,4,-200099.0
96,4,-400000.0
97,4,-299999.0
98,4,-200099.0
99,4,-100199.0
100,4,-99997.0
101,4,-199998.0
102,4,-99997.0
103,4,-199998.0
104,4,-100098.0
105,4,-100199.0
106,4,-199998.0
107,4,-199998.0
108,4,-299999.0
109,4,-299999.0
110,4,-100098.0
111,4,-400000.0
112,4,-299999.0
113,4,-100098.0
114,4,-199998.0
115,4,-299999.0
116,4,-200099.0
117,4,-299999.0
118,4,-300100.0
119,4,-400000.0
120,4,-300100.0
121,4,-400000.0
122,4,-99997.0
123,4,-299999.0
124,4,-199998.0
125,4,-300100.0
126,4,-199998.0
127,4,-199998.0
128,8,-100094.0
129,4,-199998.0
130,4,-199998.0
131,4,-299999.0
132,4,-199998.0
133,4,-99997.0
134,4,-99997.0
135,4,-199998.0
136,4,-199998.0
137,4,-200099.0
138,4,-299999.0
139,4,-199998.0
140,4,-299999.0
141,4,-300100.0
142,4,-199998.0
143,4,-199998.0
144,16,-100288.0
145,4,-400000.0
146,4,-199998.0
147,4,-100098.0
148,4,-199998.0
149,4,-400000.0
150,4,-299999.0
151,4,-299999.0
152,4,-99997.0
153,8,-100094.0
154,4,-299999.0
155,4,-300100.0
156,4,-199998.0
157,4,-99997.0
158,4,-299999.0
159,4,-100098.0
160,4,-100098.0
161,4,-199998.0
162,4,-299999.0
163,4,-299999.0
164,4,-100098.0
165,4,-99997.0
166,4,-400000.0
167,4,-299999.0
168,4,-199998.0
169,4,-199998.0
170,4,-199998.0
171,4,-99997.0
172,4,-400000.0
173,4,-200099.0
174,4,-199998.0
175,4,-400000.0
176,4,-299999.0
177,4,-299999.0
178,4,-199998.0
179,4,-199998.0
180,4,-100098.0
181,4,-99997.0
182,4,-99997.0
183,4,-199998.0
184,4,-199998.0
185,4,-299999.0
186,4,-199998.0
187,4,-199998.0
188,8,-99993.0
189,4,-200099.0
190,4,-299999.0
191,4,-99997.0
192,4,-199998.0
193,4,-99997.0
194,4,-100199.0
195,4,-299999.0
196,4,-99997.0
197,4,-199998.0
198,12,-99989.0
199,4,-200099.0
200,4,-100098.0
201,4,-199998.0
202,4,-99997.0
203,4,-299999.0
204,4,-299999.0
205,4,-199998.0
206,4,-199998.0
207,4,-200099.0
208,8,-399996.0
209,4,-299999.0
210,4,-100098.0
211,4,-100098.0
212,4,-299999.0
213,4,-99997.0
214,4,-299999.0
215,4,-99997.0
216,4,-99997.0
217,4,-299999.0
218,4,-200099.0
219,4,-300100.0
220,4,-99997.0
221,4,-199998.0
222,4,-99997.0
223,4,-299999.0
224,4,-300100.0
225,4,-200099.0
226,4,-299999.0
227,4,-299999.0
228,4,-99997.0
229,4,-199998.0
230,4,-200099.0
231,4,-99997.0
232,4,-299999.0
233,4,-99997.0
234,4,-299999.0
235,4,-299999.0
236,4,-100300.0
237,4,-100098.0
238,4,-200200.0
239,4,-300100.0
240,4,-199998.0
241,4,-200099.0
242,4,-299999.0
243,4,-100098.0
244,4,-100098.0
245,4,-100098.0
246,4,-99997.0
247,4,-100199.0
248,4,-200099.0
249,4,-199998.0
250,4,-299999.0
251,4,-99997.0
252,4,-200099.0
253,4,-200099.0
254,4,-99997.0
255,4,-200099.0
256,4,-100199.0
257,4,-299999.0
258,4,-99997.0
259,4,-99997.0
260,4,-199998.0
261,4,-299999.0
262,4,-99997.0
263,8,-300096.0
264,4,-299999.0
265,4,-400000.0
266,4,-200099.0
267,4,-199998.0
268,4,-400000.0
269,4,-200099.0
270,4,-199998.0
271,4,-199998.0
272,4,-200099.0
273,4,-299999.0
274,4,-99997.0
275,4,-99997.0
276,4,-199998.0
277,4,-99997.0
278,4,-299999.0
279,4,-100098.0
280,4,-299999.0
281,4,-299999.0
282,4,-99997.0
283,4,-400000.0
284,4,-100098.0
285,4,-299999.0
286,4,-99997.0
287,4,-199998.0
288,4,-400000.0
289,12,-100191.0
290,4,-299999.0
291,4,-300100.0
292,4,-199998.0
293,4,-400000.0
294,4,-100098.0
295,8,-100397.0
296,4,-99997.0
297,4,-200200.0
298,4,-199998.0
299,4,-200099.0
300,4,-199998.0
301,4,-199998.0
302,4,-199998.0
303,4,-299999.0
304,4,-100098.0
305,4,-400000.0
306,4,-200099.0
307,4,-299999.0
308,4,-299999.0
309,4,-99997.0
310,4,-199998.0
311,4,-299999.0
312,4,-299999.0
313,12,-200192.0
314,4,-299999.0
315,4,-100098.0
316,4,-299999.0
317,4,-99997.0
318,4,-299999.0
319,4,-299999.0
320,4,-200200.0
321,4,-100098.0
322,4,-400000.0
323,4,-100098.0
324,4,-200099.0
325,4,-400000.0
326,4,-299999.0
327,4,-199998.0
328,4,-299999.0
329,4,-199998.0
330,4,-299999.0
331,4,-199998.0
332,4,-299999.0
333,4,-100098.0
334,4,-199998.0
335,4,-99997.0
336,4,-199998.0
337,4,-199998.0
338,4,-200099.0
339,4,-400000.0
340,4,-199998.0
341,4,-299999.0
342,4,-200099.0
343,4,-300100.0
344,4,-199998.0
345,4,-199998.0
346,4,-99997.0
347,4,-199998.0
348,4,-299999.0
349,4,-200099.0
350,4,-299999.0
351,4,-199998.0
352,4,-299999.0
353,4,-100199.0
354,4,-299999.0
355,4,-100098.0
356,4,-299999.0
357,4,-100098.0
358,4,-199998.0
359,4,-99997.0
360,4,-99997.0
361,4,-299999.0
362,4,-299999.0
363,4,-99997.0
364,4,-199998.0
365,4,-199998.0
366,4,-400000.0
367,4,-99997.0
368,4,-199998.0
369,4,-300100.0
370,4,-300100.0
371,4,-100199.0
372,4,-299999.0
373,4,-100199.0
374,4,-199998.0
375,4,-299999.0
376,4,-199998.0
377,4,-299999.0
378,4,-199998.0
379,4,-100098.0
380,4,-99997.0
381,4,-199998.0
382,8,-200297.0
383,4,-300100.0
384,4,-299999.0
385,4,-200099.0
386,4,-100098.0
387,4,-199998.0
388,4,-299999.0
389,4,-200099.0
390,4,-299999.0
391,4,-200099.0
392,4,-200099.0
393,4,-299999.0
394,4,-199998.0
395,4,-199998.0
396,4,-400000.0
397,4,-400000.0
398,4,-100098.0
399,4,-199998.0
400,4,-100098.0
401,4,-299999.0
402,4,-400000.0
403,4,-199998.0
404,4,-200099.0
405,4,-199998.0
406,4,-199998.0
407,4,-199998.0
408,12,-100090.0
409,4,-199998.0
410,4,-199998.0
411,4,-200200.0
412,4,-100199.0
413,4,-400000.0
414,4,-299999.0
415,4,-100098.0
416,4,-299999.0
417,4,-299999.0
418,4,-99997.0
419,4,-200099.0
420,4,-100098.0
421,4,-300100.0
422,4,-199998.0
423,4,-199998.0
424,4,-199998.0
425,4,-99997.0
426,4,-199998.0
427,4,-99997.0
428,4,-99997.0
429,4,-99997.0
430,4,-199998.0
431,4,-200099.0
432,4,-299999.0
433,4,-199998.0
434,4,-99997.0
435,4,-299999.0
436,4,-299999.0
437,4,-199998.0
438,4,-299999.0
439,4,-200099.0
440,4,-300100.0
441,4,-299999.0
442,4,-400000.0
443,4,-99997.0
444,4,-199998.0
445,4,-100098.0
446,4,-299999.0
447,4,-299999.0
448,4,-300100.0
449,4,-299999.0
450,4,-99997.0
